plant_id,trt,shoots,ht,lvs,total_la,flrs,dev_frts,frts_collected,sds_collected,sds_per_frt,yr,mo
169,fert,6,79,16,2556.6,NA,NA,NA,NA,NA,1998,08
170,control,5,82,15,2944.2,NA,NA,NA,NA,NA,1998,08
171,fert,7,43,16,1577.5,NA,NA,NA,NA,NA,1998,08
172,control,3,57,4,393.8,NA,NA,NA,NA,NA,1998,08
173,pollen,5,89,15,2836.1,NA,NA,NA,NA,NA,1998,08
174,fert,5,87,8,2151.6,NA,NA,NA,NA,NA,1998,08
175,fert_pollen,3,56,12,2362.2,NA,NA,NA,NA,NA,1998,08
176,control,4,53,11,1713.7,NA,NA,NA,NA,NA,1998,08
177,fert,4,45,10,1268.5,NA,NA,NA,NA,NA,1998,08
178,fert_pollen,2,52,5,1201.8,NA,NA,NA,NA,NA,1998,08
179,pollen,5,75,10,2271.1,NA,NA,NA,NA,NA,1998,08
180,fert,3,80,8,1557.5,NA,NA,NA,NA,NA,1998,08
181,control,5,58,12,1878,NA,NA,NA,NA,NA,1998,08
182,fert,4,72,11,1661.1,NA,NA,NA,NA,NA,1998,08
183,control,3,64,10,1857,NA,NA,NA,NA,NA,1998,08
184,fert,4,48,13,2504.2,NA,NA,NA,NA,NA,1998,08
185,pollen,6,52,16,2771,NA,NA,NA,NA,NA,1998,08
186,fert,2,28,6,334.3,NA,NA,NA,NA,NA,1998,08
187,fert_pollen,8,75,20,4261.5,NA,NA,NA,NA,NA,1998,08
188,pollen,3,82,8,1801.1,NA,NA,NA,NA,NA,1998,08
189,pollen,4,51,11,1761,NA,NA,NA,NA,NA,1998,08
190,pollen,4,126,12,3011.5,NA,NA,NA,NA,NA,1998,08
191,fert,2,61,7,1774.4,NA,NA,NA,NA,NA,1998,08
192,fert_pollen,3,47,7,945.2,NA,NA,NA,NA,NA,1998,08
193,fert_pollen,7,82,17,2899.2,NA,NA,NA,NA,NA,1998,08
194,control,4,94,6,568.2,NA,NA,NA,NA,NA,1998,08
195,fert,4,95,11,2369.2,NA,NA,NA,NA,NA,1998,08
196,pollen,12,75,44,6690.3,NA,NA,NA,NA,NA,1998,08
197,control,3,58,11,1864.8,NA,NA,NA,NA,NA,1998,08
198,fert,7,57,27,2965.6,NA,NA,NA,NA,NA,1998,08
199,pollen,9,58,23,3398.1,NA,NA,NA,NA,NA,1998,08
200,control,5,47,15,1777.7,NA,NA,NA,NA,NA,1998,08
201,fert,5,56,14,1731,NA,NA,NA,NA,NA,1998,08
202,fert_pollen,5,45,16,1949.3,NA,NA,NA,NA,NA,1998,08
203,control,3,80,9,1582,NA,NA,NA,NA,NA,1998,08
204,control,3,95,14,3113.8,NA,NA,NA,NA,NA,1998,08
205,pollen,5,61,18,3292.4,NA,NA,NA,NA,NA,1998,08
206,control,6,61,10,1585.3,NA,NA,NA,NA,NA,1998,08
207,fert,4,75,11,2029.5,NA,NA,NA,NA,NA,1998,08
208,pollen,12,58,33,3801.9,NA,NA,NA,NA,NA,1998,08
210,fert,4,74,11,2213.4,NA,NA,NA,NA,NA,1998,08
211,fert,4,38,9,1221.2,NA,NA,NA,NA,NA,1998,08
212,fert,5,54,14,1648.8,NA,NA,NA,NA,NA,1998,08
